X	Y	Potencial
0	0	4.223
1	0	4.238
2	0	4.247
3	0	4.265
4	0	4.286
5	0	4.295
6	0	4.343
7	0	4.387
8	0	4.393
9	0	4.414
10	0	4.426
11	0	4.471
12	0	4.488
13	0	4.613
14	0	4.685
15	0	4.819
0	1	3.965
1	1	4.024
2	1	4.039
3	1	4.072
4	1	4.131
5	1	4.136
6	1	4.178
7	1	4.212
8	1	4.236
9	1	4.325
10	1	4.386
11	1	4.446
12	1	4.507
13	1	4.61
14	1	4.818
15	1	4.816
0	2	3.723
1	2	3.74
2	2	3.783
3	2	3.847
4	2	3.888
5	2	3.919
6	2	3.919
7	2	3.982
8	2	4.014
9	2	4.021
10	2	4.111
11	2	4.111
12	2	4.171
13	2	4.384
14	2	4.471
15	2	4.769
0	3	3.523
1	3	3.567
2	3	3.621
3	3	3.66
4	3	3.694
5	3	3.729
6	3	3.758
7	3	3.789
8	3	3.842
9	3	3.87
10	3	3.954
11	3	4.052
12	3	4.192
13	3	4.328
14	3	4.514
15	3	4.77
0	4	3.302
1	4	3.356
2	4	3.387
3	4	3.4
4	4	3.435
5	4	3.474
6	4	3.496
7	4	3.539
8	4	3.567
9	4	3.594
10	4	3.67
11	4	3.721
12	4	3.801
13	4	3.956
14	4	4.168
15	4	4.541
0	5	3.13
1	5	3.189
2	5	3.205
3	5	3.243
4	5	3.266
5	5	3.317
6	5	3.346
7	5	3.389
8	5	3.46
9	5	3.471
10	5	3.553
11	5	3.672
12	5	3.71
13	5	3.836
14	5	4.052
15	5	4.051
0	6	2.935
1	6	2.943
2	6	2.962
3	6	3.011
4	6	3.022
5	6	3.075
6	6	3.08
7	6	3.114
8	6	3.17
9	6	3.227
10	6	3.272
11	6	3.328
12	6	3.391
13	6	3.477
14	6	3.5
15	6	3.619
0	7	2.745
1	7	2.767
2	7	2.782
3	7	2.803
4	7	2.821
5	7	2.833
6	7	2.857
7	7	2.903
8	7	2.932
9	7	2.982
10	7	3.029
11	7	3.109
12	7	3.14
13	7	3.18
14	7	3.223
15	7	3.22
0	8	2.547
1	8	2.542
2	8	2.551
3	8	2.57
4	8	2.572
5	8	2.581
6	8	2.615
7	8	2.653
8	8	2.685
9	8	2.706
10	8	2.718
11	8	2.781
12	8	2.792
13	8	2.859
14	8	2.924
15	8	2.92
0	9	2.314
1	9	2.329
2	9	2.325
3	9	2.343
4	9	2.333
5	9	2.362
6	9	2.385
7	9	2.396
8	9	2.442
9	9	2.459
10	9	2.48
11	9	2.541
12	9	2.566
13	9	2.58
14	9	2.58
15	9	2.597
0	10	2.119
1	10	2.105
2	10	2.104
3	10	2.135
4	10	2.122
5	10	2.143
6	10	2.162
7	10	2.176
8	10	2.194
9	10	2.196
10	10	2.212
11	10	2.243
12	10	2.267
13	10	2.297
14	10	2.32
15	10	2.302
0	11	1.866
1	11	1.863
2	11	1.846
3	11	1.854
4	11	1.852
5	11	1.872
6	11	1.87
7	11	1.92
8	11	1.926
9	11	1.919
10	11	1.953
11	11	1.969
12	11	1.964
13	11	1.997
14	11	2.01
15	11	2.138
0	12	1.668
1	12	1.641
2	12	1.653
3	12	1.634
4	12	1.639
5	12	1.643
6	12	1.66
7	12	1.658
8	12	1.666
9	12	1.667
10	12	1.693
11	12	1.719
12	12	1.722
13	12	1.681
14	12	1.74
15	12	1.757
0	13	1.44
1	13	1.397
2	13	1.37
3	13	1.361
4	13	1.372
5	13	1.351
6	13	1.377
7	13	1.374
8	13	1.382
9	13	1.395
10	13	1.397
11	13	1.419
12	13	1.419
13	13	1.439
14	13	1.436
15	13	1.452
0	14	1.231
1	14	1.179
2	14	1.16
3	14	1.132
4	14	1.111
5	14	1.101
6	14	1.119
7	14	1.11
8	14	1.1
9	14	1.13
10	14	1.121
11	14	1.117
12	14	1.132
13	14	1.145
14	14	1.143
15	14	1.15
0	15	0.946
1	15	0.893
2	15	0.86
3	15	0.851
4	15	0.849
5	15	0.851
6	15	0.851
7	15	0.85
8	15	0.865
9	15	0.849
10	15	0.861
11	15	0.861
12	15	0.874
13	15	0.882
14	15	0.879
15	15	0.877
0	16	0.749
1	16	0.659
2	16	0.611
3	16	0.587
4	16	0.584
5	16	0.572
6	16	0.569
7	16	0.57
8	16	0.579
9	16	0.578
10	16	0.582
11	16	0.585
12	16	0.595
13	16	0.59
14	16	0.594
15	16	0.577






