X	Y	Potencial
0	0	4.063
1	0	4.093
2	0	4.112
3	0	4.145
4	0	4.173
5	0	4.206
6	0	4.196
7	0	4.189
8	0	4.163
9	0	4.131
10	0	4.104
11	0	4.111
12	0	4.087
13	0	4.099
14	0	4.098
15	0	4.074
16	0	4.074
17	0	4.074
18	0	4.062
19	0	4.062
20	0	4.066
21	0	4.091
22	0	4.071
23	0	4.071
24	0	4.095
25	0	4.135
26	0	4.135
27	0	4.154
28	0	4.134
0	1	3.892
1	1	3.931
2	1	3.931
3	1	3.934
4	1	3.934
5	1	3.932
6	1	3.899
7	1	3.868
8	1	3.885
9	1	3.885
10	1	3.86
11	1	3.864
12	1	3.864
13	1	3.843
14	1	3.843
15	1	3.854
16	1	3.854
17	1	3.858
18	1	3.858
19	1	3.877
20	1	3.895
21	1	3.906
22	1	3.888
23	1	3.879
24	1	3.879
25	1	3.86
26	1	3.798
27	1	3.895
28	1	4.046
0	2	3.682
1	2	3.682
2	2	3.579
3	2	3.635
4	2	3.635
5	2	3.674
6	2	3.674
7	2	3.69
8	2	3.69
9	2	3.687
10	2	3.687
11	2	3.654
12	2	3.654
13	2	3.638
14	2	3.638
15	2	3.621
16	2	3.621
17	2	3.623
18	2	3.623
19	2	3.619
20	2	3.619
21	2	3.619
22	2	3.631
23	2	3.631
24	2	3.641
25	2	3.641
26	2	3.626
27	2	3.626
28	2	3.639
0	3	3.441
1	3	3.432
2	3	3.432
3	3	3.412
4	3	3.418
5	3	3.418
6	3	3.423
7	3	3.423
8	3	3.4
9	3	3.4
10	3	3.398
11	3	3.398
12	3	3.387
13	3	3.387
14	3	3.39
15	3	3.39
16	3	3.409
17	3	3.409
18	3	3.398
19	3	3.398
20	3	3.398
21	3	3.42
22	3	3.42
23	3	3.422
24	3	3.422
25	3	3.348
26	3	3.348
27	3	3.43
28	3	3.586
0	4	3.368
1	4	3.217
2	4	3.217
3	4	3.217
4	4	3.145
5	4	3.145
6	4	3.145
7	4	3.223
8	4	3.223
9	4	3.205
10	4	3.205
11	4	3.205
12	4	3.175
13	4	3.175
14	4	3.175
15	4	3.17
16	4	3.17
17	4	2.156
18	4	3.156
19	4	3.156
20	4	3.172
21	4	3.172
22	4	3.172
23	4	3.172
24	4	3.168
25	4	3.168
26	4	3.168
27	4	3.181
28	4	3.181
0	5	2.892
1	5	2.694
2	5	2.694
3	5	2.733
4	5	2.733
5	5	2.719
6	5	2.719
7	5	2.719
8	5	2.929
9	5	2.929
10	5	2.935
11	5	2.935
12	5	2.905
13	5	2.905
14	5	2.934
15	5	2.934
16	5	2.924
17	5	2.929
18	5	2.929
19	5	2.959
20	5	2.959
21	5	2.941
22	5	2.941
23	5	2.941
24	5	2.928
25	5	2.928
26	5	2.928
27	5	3.157
28	5	3.157
0	6	2.892
1	6	2.694
2	6	2.694
3	6	2.733
4	6	2.733
5	6	2.719
6	6	2.719
7	6	2.719
8	6	2.73
9	6	2.73
10	6	2.73
11	6	2.686
12	6	2.686
13	6	2.684
14	6	2.684
15	6	2.684
16	6	2.717
17	6	2.717
18	6	2.717
19	6	2.681
20	6	2.681
21	6	2.678
22	6	2.678
23	6	2.678
24	6	2.718
25	6	2.718
26	6	2.718
27	6	2.728
28	6	2.728
0	7	2.493
1	7	2.493
2	7	2.475
3	7	2.475
4	7	2.475
5	7	2.475
6	7	2.475
7	7	2.437
8	7	2.437
9	7	2.437
10	7	2.437
11	7	2.454
12	7	2.454
13	7	2.422
14	7	2.422
15	7	2.422
16	7	2.456
17	7	2.456
18	7	2.456
19	7	2.454
20	7	2.493
