,2,4,6,8,10,12,14,16
1,17.8,17.3,16.3,15.0,13.6,13.1,12.6,11.5
3,18.5,17.7,16.5,15.5,14.1,12.5,11.8,11.2
5,19.3,18.0,16.9,15.5,13.8,12.4,11.0,10.5
7,20.7,19.0,17.3,15.7,12.5,12.0,10.3,9.1
9,21.9,19.7,17.4,15.5,13.6,11.5,9.2,7.2
11,23.3,20.1,17.0,15.7,13.4,10.0,8.8,4.5
13,22.8,19.8,17.0,15.6,12.8,11.0,8.4,4.5
15,21.1,19.3,17.3,15.7,13.8,12.0,9.6,7.4
17,19.8,18.6,17.1,15.7,13.8,12.3,11.3,9.8
19,18.9,17.8,16.9,15.5,14.0,12.7,12.2,11.1
21,18.5,17.0,16.6,15.6,14.3,13.3,12.4,12.0
23,18.0,17.3,16.3,15.4,14.3,13.5,12.8,12.7
