,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,4.223,3.965,3.723,3.523,3.302,3.13,2.935,2.745,2.547,2.314,2.119,1.866,1.668,1.44,1.231,0.946,0.749
1,4.238,4.024,3.74,3.567,3.356,3.189,2.943,2.767,2.542,2.329,2.105,1.863,1.641,1.397,1.179,0.893,0.659
2,4.247,4.039,3.783,3.621,3.387,3.205,2.962,2.782,2.551,2.325,2.104,1.846,1.653,1.37,1.16,0.86,0.611
3,4.265,4.072,3.847,3.66,3.4,3.243,3.011,2.803,2.57,2.343,2.135,1.854,1.634,1.361,1.132,0.851,0.587
4,4.286,4.131,3.888,3.694,3.435,3.266,3.022,2.821,2.572,2.333,2.122,1.852,1.639,1.372,1.111,0.849,0.584
5,4.295,4.136,3.919,3.729,3.474,3.317,3.075,2.833,2.581,2.362,2.143,1.872,1.643,1.351,1.101,0.851,0.572
6,4.343,4.178,3.919,3.758,3.496,3.346,3.08,2.857,2.615,2.385,2.162,1.87,1.66,1.377,1.119,0.851,0.569
7,4.387,4.212,3.982,3.789,3.539,3.389,3.114,2.903,2.653,2.396,2.176,1.92,1.658,1.374,1.11,0.85,0.57
8,4.393,4.236,4.014,3.842,3.567,3.46,3.17,2.932,2.685,2.442,2.194,1.926,1.666,1.382,1.1,0.865,0.579
9,4.414,4.325,4.021,3.87,3.594,3.471,3.227,2.982,2.706,2.459,2.196,1.919,1.667,1.395,1.13,0.849,0.578
10,4.426,4.386,4.111,3.954,3.67,3.553,3.272,3.029,2.718,2.48,2.212,1.953,1.693,1.397,1.121,0.861,0.582
11,4.471,4.446,4.111,4.052,3.721,3.672,3.328,3.109,2.781,2.541,2.243,1.969,1.719,1.419,1.117,0.861,0.585
12,4.488,4.507,4.171,4.192,3.801,3.71,3.391,3.14,2.792,2.566,2.267,1.964,1.722,1.419,1.132,0.874,0.595
13,4.613,4.61,4.384,4.328,3.956,3.836,3.477,3.18,2.859,2.58,2.297,1.997,1.681,1.439,1.145,0.882,0.59
14,4.685,4.818,4.471,4.514,4.168,4.052,3.5,3.223,2.924,2.58,2.32,2.01,1.74,1.436,1.143,0.879,0.594
15,4.819,4.816,4.769,4.77,4.541,4.051,3.619,3.22,2.92,2.597,2.302,2.138,1.757,1.452,1.15,0.877,0.577
